[2025-04-19 18:54:19] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:19] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:19] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:19] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:19] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:19] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:19] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:19] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:19] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:19] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:19] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Finished updating cursor size
